"variable","lower","upper","med","real","real.in.83","real.minus.med","percent.error","run_id"
"gorgonianElectivity",0.580274013484649,0.775673519930081,0.675729691035119,1.51270700980493,FALSE,0.836977318769809,-55.3297706260872,1
"fireElectivity",-0.15294333910964,0.0227475332496707,-0.0663683457010791,0.257921437532031,FALSE,0.32428978323311,-125.732000540993,1
"spongeElectivity",-0.326039266188055,-0.142674086952731,-0.235070135204817,0.0884402291595864,FALSE,0.323510364364404,-365.795484067148,1
"scleractinianElectivity",-0.492890971778889,-0.32154016951738,-0.40712878724867,-0.120896537539089,FALSE,0.286232249709581,236.758020978916,1
"gorgonianElectivity",0.756449997583366,1.02364392974698,0.886894079908196,0.676807624848904,FALSE,-0.210086455059292,31.0407931805132,2
"fireElectivity",-6.8873422655377,-2.47555543335916,-4.38375495738517,-2.82309722187196,TRUE,1.56065773551322,55.2817566260919,2
"spongeElectivity",-0.447315594086827,-0.210604682147957,-0.329695146059996,-0.255229423103625,TRUE,0.0744657229563718,29.1759946995368,2
"scleractinianElectivity",0.0127458870464053,0.243857392336591,0.126792257011174,-0.0492199267294202,FALSE,-0.176012183740594,-357.603506214459,2
"gorgonianElectivity",-0.59198535572465,-0.185555537660327,-0.391648349833379,-0.971385229151864,FALSE,-0.579736879318484,-59.6814592110552,3
"fireElectivity",-0.872290948382778,-0.411874451238901,-0.639965519998694,-1.09615624155886,FALSE,-0.456190721560163,-41.6173082143298,3
"spongeElectivity",0.866644939372732,1.32830316384534,1.0914437093591,0.0490504509375971,FALSE,-1.0423932584215,2125.14510773338,3
"scleractinianElectivity",-0.900720878617306,-0.456858194564373,-0.676759379725292,-1.19849585655778,FALSE,-0.521736476832488,-43.5326058056618,3
"gorgonianElectivity",-0.316128537137622,-0.108920696596947,-0.214093089503758,-0.193061140800734,TRUE,0.0210319487030238,10.893931640408,4
"fireElectivity",-0.554496951941293,-0.329766624086598,-0.442613626804448,-0.561229382374985,FALSE,-0.118615755570537,-21.1349867443833,4
"spongeElectivity",0.671334589700687,0.912253284382804,0.788910804123527,0.77504861251341,TRUE,-0.0138621916101169,1.78855769642154,4
"scleractinianElectivity",-0.373483525953428,-0.171397760358293,-0.272239808284906,-0.267563800591188,TRUE,0.00467600769371873,1.74762343911508,4
"gorgonianElectivity",-0.866213097939127,-0.639396867021758,-0.752134188860254,-0.631922936254832,FALSE,0.120211252605422,19.0230874223159,5
"fireElectivity",0.726187630166687,0.95158950643948,0.836156210208838,1.52049119383216,FALSE,0.684334983623325,-45.007494051877,5
"spongeElectivity",0.317468572873011,0.519657063646336,0.418129043253013,0.795955949415082,FALSE,0.377826906162069,-47.468318622371,5
"scleractinianElectivity",-1.58616847727417,-1.19686698924726,-1.38318282924596,-1.4535295651328,TRUE,-0.0703467358868428,-4.8397182674723,5
